analysis,BMD_mg/cm2,BMDL,BMDH,ID_BMD,ID,author_year,Substance,type,media,pp_density,pp_diameter,agg_diameter,agg_effective_density,simulation_time,organism,cell_type,ssa_m2/g,Mass_per_Area_end_mg/cm2,exposure_concentration_air_five_d_mg/m3,exposure_concentration_air_life_mg/m3,variable,SA_BMD_cm2/cm2,ssa_BMDL,air_BMD_mg/m3,Dep_area_5d_mg/cm2,Dep_area_lifetime_mg/cm2
In_vitro_3033_dep_dose_release_il6.txt,5.2e-06,,,3033,137,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,14.0,137.3,1.162809734,12,mouse,MH-S murine macrophages,189.16,0.0004943430000000001,108.40855239999999,0.126296676,release_il6,0.009826861999999999,,1.139254384,4.56e-06,0.0039141409999999995
In_vitro_3034_dep_dose_release_il6.txt,1.15e-06,,,3034,141,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,13.0,138.3,1.152047858,12,mouse,MH-S murine macrophages,203.92,0.000980765,233.51547639999998,0.27254942,release_il6,0.002349158,,0.274285715,4.2e-06,0.003598485
In_vitro_3035_dep_dose_release_il6.txt,1.75e-05,,,3035,143,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,14.0,137.3,1.162809734,12,mouse,RAW264.7 murine macrophages,189.16,0.0004943430000000001,108.40855239999999,0.126296676,release_il6,0.033103,,3.83771929,4.56e-06,0.0039141409999999995
In_vitro_3036_dep_dose_release_il6.txt,2.55e-05,1.1e-06,0.000144,3036,146,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,13.0,138.3,1.152047858,12,mouse,RAW264.7 murine macrophages,203.92,0.0004903819999999999,116.75761920000001,0.13627457099999998,release_il6,0.0519996,0.00224312,6.071428579,4.2e-06,0.003598485
In_vitro_3096_dep_dose_release_il6.txt,1.4400000000000001e-05,1.4300000000000002e-05,1.4599999999999999e-05,3096,402,Dinesh 2017,TiO2,anatase,DMEM,3.78,85.5,1562.0,1.203470463,24,mouse,RAW264.7,18.56493085,0.002919522,647.3441242,0.754900937,release_il6,0.0026807759999999997,0.002654785,3.201773836,4.51e-06,0.0038674240000000004
In_vitro_3097_dep_dose_release_il6.txt,3.51e-06,3.46e-06,3.56e-06,3097,404,Dinesh 2017,TiO2,anatase,DMEM,3.78,72.8,848.0,1.3050751059999999,24,mouse,RAW264.7,21.80359323,2.62e-05,5.2716297789999995,0.006140989,release_il6,0.0007657419999999999,0.000754404,0.706639839,4.97e-06,0.0042664140000000005
In_vitro_30_dep_dose_release_tnfa.txt,0.001947,0.0015300000000000001,0.00221,30,124,Wiemann 2018,Amorphous SiO2,,F-12K,2.3,15.0,48.0,1.456360841,16,rat,NR8383 rat macrophages,200.0,0.002235682,456.2616328,0.5325294079999999,release_tnfa,3.8939999999999997,3.06,397.3469389,4.9e-06,0.0041982320000000005
In_vitro_3108_dep_dose_release_il6.txt,4.57e-06,1.76e-06,1.06e-05,3108,493,Kim 2014,Amorphous SiO2,,RPMI+5%FBS,2.2,10.0,342.0,1.07,24,mouse,MH-S murine macrophage,640.0,0.002441343,868.8053379,1.011267776,release_il6,0.0292736,0.011264,1.627758007,2.81e-06,0.002414141
In_vitro_3109_dep_dose_release_il6.txt,0.0001443,5.68e-05,0.00028399999999999996,3109,499,Kim 2014,CeO2,,RPMI+5%FBS,7.2,23.0,432.0,1.88,24,mouse,MH-S murine macrophage,40.0,0.015,2347.417841,2.738589075,release_il6,0.05772000000000001,0.022719999999999997,22.58215963,6.39e-06,0.005477273
In_vitro_3110_dep_dose_release_il6.txt,0.00026489999999999993,0.000148,0.000437,3110,502,Kim 2014,CeO2,,RPMI+5%FBS,7.2,88.0,220.0,4.23,24,mouse,MH-S murine macrophage,10.0,0.0009375,208.7973274,0.243203405,release_il6,0.026489999999999996,0.0148,58.99777283,4.49e-06,0.003854798
