analysis,BMD_mg/cm2,BMDL,BMDH,ID_BMD,ID,author_year,Substance,type,media,pp_density,pp_diameter,agg_diameter,agg_effective_density,simulation_time,organism,cell_type,ssa_m2/g,Mass_per_Area_end_mg/cm2,exposure_concentration_air_five_d_mg/m3,exposure_concentration_air_life_mg/m3,variable,SA_BMD_cm2/cm2,ssa_BMDL,air_BMD_mg/m3
In_vitro_4173_dep_dose_release_mip2.txt,9.80E-07,0,1.19E-06,4173,777,Sayez 2007,Amorphous SiO2,,F12+10%FBS,2.2,35,382.2,1.164822392,24,rat,rat alveolar macrophage,77.7,1.50E-06,0.226586102,0.000264059,release_mip2,0.00076146,0,0.148036253
In_vitro_4192_dep_dose_release_mip2.txt,0.00159,0.00148,0.00165,4192,882,Refsnes 2006,Crystalline SiO2,,RPMI,2.65,14.1,400,1.085642849,20,rat,rat macrophage,164,0.004457174,968.9508659,1.129987898,release_mip2,2.6076,2.4272,345.6521726
In_vitro_4193_dep_dose_release_mip2.txt,0.004075,0.00338,0.00462,4193,885,Refsnes 2006,Crystalline SiO2,,RPMI,2.65,7.4,1200,1.021477842,20,rat,rat macrophage,311,0.003125765,2248.751795,2.622187078,release_mip2,12.67325,10.5118,2931.654672
In_vitro_45_dep_dose_release_tnfa.txt,0.003846,0.00369,0.00401,45,184,Leibe 2019,Amorphous SiO2,,DMEM+10%FBS,2.2,12,2245,1.009832069,24,mouse,RAW264.7,200,0.020277188,5364.335452,6.258586461,release_tnfa,7.692,7.38,1017.460318
In_vitro_49_dep_dose_release_tnfa.txt,0.00405,0.00384,0.00413,49,201,Leibe 2019,Amorphous SiO2,,DMEM,2.2,55,55,2.2,24,mouse,RAW264.7,55,0.006369268,1105.775694,1.290143206,release_tnfa,2.2275,2.112,703.1249997
In_vitro_59_dep_dose_release_tnfa.txt,7.15E-05,7.10E-05,7.21E-05,59,231,Panas 2012,Amorphous SiO2,,DMEM+10%FBS,2.2,12,610.1,1.033990102,24,mouse,RAW264.7,200,0.001170415,309.6335965,0.361250457,release_tnfa,0.143,0.142,18.91534383
In_vitro_67_dep_dose_release_tnfa.txt,3.50E-06,0,0.00473,67,258,Murugadoss 2020,TiO2,anatase,RPMI,3.78,17,1350,1.4634,24,human,THP1,93.37068161,0.151387517,27828.58768,32.42263693,release_tnfa,0.003267974,0,0.643382353
In_vitro_69_dep_dose_release_tnfa.txt,0.001089,0.00105,0.00113,69,264,Murugadoss 2020,TiO2,anatase,RPMI,3.78,17,1140,1.4896,24,human,THP1,93.37068161,0.002338376,429.8485297,0.500809562,release_tnfa,1.016806723,0.980392157,200.1838237
In_vitro_72_dep_dose_release_tnfa.txt,0.0002833,2.64E-06,0.00338,72,280,Farcal 2015,TiO2,rutile,RPMI+10%FBS,4.23,24.7,140,1.686037808,24,human,HMDM macrophages,51,0.005330277,818.7829503,0.954460628,release_tnfa,0.144483,0.0013464,43.51766518
In_vitro_74_dep_dose_release_tnfa.txt,0.0003339,2.28E-05,0.00122,74,296,Farcal 2015,Amorphous SiO2,,RPMI+10%FBS,2.2,14,144.4,1.156048399,24,human,HMDM macrophages,189.2,0.00249937,548.107457,0.638548791,release_tnfa,0.6317388,0.0431376,73.22368433
In_vitro_93_dep_dose_release_tnfa.txt,0.0006529,0.000644,0.000662,93,388,Chen 2018,TiO2,anatase,DMEM+10%FBS,3.78,10,150,1.242063001,24,mouse,RAW264.7,158.7301587,0.003267334,1162.752317,1.353414739,release_tnfa,1.036349206,1.022222222,232.3487552
In_vitro_96_dep_dose_release_tnfa.txt,2.31E-05,2.28E-05,2.35E-05,96,400,Dinesh 2017,TiO2,anatase,DMEM,3.78,85.5,1562,1.203470463,24,mouse,RAW264.7,18.56493085,2.92E-05,6.47450111,0.007550245,release_tnfa,0.004288499,0.004232804,5.121951221
In_vitro_97_dep_dose_release_tnfa.txt,6.77E-06,6.27E-06,7.31E-06,97,404,Dinesh 2017,TiO2,anatase,DMEM,3.78,72.8,848,1.305075106,24,mouse,RAW264.7,21.80359323,2.62E-05,5.271629779,0.006140989,release_tnfa,0.001476103,0.001367085,1.362173038
